"zipcode","centile","superzip","rank","city","state","adultpop","households","college","income","State","Congressional.District"
"256",1852,47.97148,0,8692,"Lowell","MA",21526,7817,"19.48342%",62.31499,25,3
"257",1854,35.80492,0,11641,"Lowell","MA",15575,5676,"15.98716%",56.97083,25,3
"258",1860,78.27618,0,3221,"Merrimac","MA",4048,1702,"30.80534%",90.3787,25,6
"259",1862,72.75717,0,4077,"North Billerica","MA",6836,2452,"21.95729%",93.7693,25,6
"260",1863,85.69866,0,2110,"North Chelmsford","MA",5931,2285,"40.07756%",94.4911,25,3
"261",1864,90.8402,0,1388,"North Reading","MA",9302,3750,"40.86218%",112.7713,25,6
"262",1867,93.50919,0,999,"Reading","MA",16304,6479,"47.82875%",116.4758,25,6
"263",1876,78.57989,0,3172,"Tewksbury","MA",19556,7646,"25.49601%",100.1909,25,6
"264",1879,83.02407,0,2506,"Tyngsboro","MA",7146,2965,"30.64651%",102.8022,25,3
"265",1880,87.53439,0,1845,"Wakefield","MA",17788,6643,"39.70092%",101.7757,25,6
"266",1886,97.12028,1,475,"Westford","MA",13275,5824,"56.81356%",136.0283,25,3
"267",1887,82.69584,0,2557,"Wilmington","MA",14140,5810,"31.44979%",100.4237,25,6
"268",1890,98.46716,1,264,"Winchester","MA",14800,5831,"64.90541%",144.1315,25,5
"269",1902,29.02727,0,13611,"Lynn","MA",30218,10668,"15.92097%",51.49329,25,6
"270",1904,68.20622,0,4788,"Lynn","MA",12477,4846,"21.76805%",86.18523,25,6
"271",1905,27.14411,0,14193,"Lynn","MA",14375,5633,"12.51478%",55.85152,25,6
"272",1906,65.63695,0,5196,"Saugus","MA",19044,7140,"19.25016%",86.01,25,6
"273",1907,92.89509,0,1087,"Swampscott","MA",10214,3996,"50.21539%",108.2627,25,6
"274",1908,90.66019,0,1416,"Nahant","MA",2810,988,"47.47331%",100.5884,25,6
"275",1913,70.49937,0,4419,"Amesbury","MA",11158,4269,"26.42051%",82.21535,25,6
"276",1915,80.94808,0,2824,"Beverly","MA",27633,9929,"36.53603%",86.9371,25,6
"277",1921,98.76546,1,209,"Boxford","MA",5016,2253,"62.81898%",156.2464,25,6
"278",1922,91.60096,0,1276,"Byfield","MA",1866,767,"42.97964%",113.9639,25,6
"279",1923,80.65044,0,2869,"Danvers","MA",17777,6602,"33.0202%",92.2708,25,6
"280",1929,82.53998,0,2584,"Essex","MA",2280,940,"36.27193%",91.73076,25,6
"281",1930,68.2868,0,4771,"Gloucester","MA",21598,7912,"27.49329%",76.44099,25,6
"282",1938,87.32031,0,1874,"Ipswich","MA",9311,3484,"41.3919%",97.97977,25,6
"283",1940,94.3543,0,881,"Lynnfield","MA",8093,3352,"49.33893%",120.1279,25,6
"284",1944,95.83978,1,665,"Manchester","MA",3704,1459,"55.99352%",122.4031,25,6
"285",1945,97.28361,1,444,"Marblehead","MA",14724,5692,"61.49824%",130.6188,25,6
"286",1949,86.11038,0,2047,"Middleton","MA",5376,1778,"29.31548%",114.5523,25,6
"287",1950,86.82819,0,1940,"Newburyport","MA",13717,4684,"42.16665%",94.801,25,6
"288",1951,92.04617,0,1200,"Newbury","MA",1894,771,"46.19852%",110.9812,25,6
"289",1952,54.07371,0,7340,"Salisbury","MA",5493,2025,"17.13089%",73.65318,25,6
"290",1960,69.26983,0,4621,"Peabody","MA",34274,12997,"23.10206%",85.62557,25,6
"291",1966,86.71345,0,1955,"Rockport","MA",5716,2035,"44.41918%",90.5683,25,6
"292",1969,84.87864,0,2232,"Rowley","MA",3619,1438,"36.05968%",98.7591,25,6
